# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695828928371,-0.044921875,-0.84277344,0.49804688,0.0,-0.28125,0.125,0.0,0.0,0.0
1695828928411,-0.029296875,-0.8496094,0.5029297,0.125,-0.15625,0.0625,0.0,0.0,0.0
1695828928452,-0.041015625,-0.8408203,0.50097656,-0.25,-0.28125,-0.0625,0.0,0.0,0.0
1695828928492,-0.038085938,-0.8496094,0.5078125,0.0625,0.28125,-0.1875,54.875,-67.0,-75.0625
1695828928532,-0.048828125,-0.8535156,0.50390625,-0.375,-0.03125,-0.125,0.0,0.0,0.0
1695828928572,-0.041015625,-0.8515625,0.5126953,-0.125,-0.09375,-0.125,0.0,0.0,0.0
1695828928612,-0.05078125,-0.85058594,0.52246094,-0.0625,-0.34375,-0.0625,0.0,0.0,0.0
1695828928652,-0.053710938,-0.85253906,0.5107422,0.0,-0.03125,-0.125,0.0,0.0,0.0
1695828928692,-0.045898438,-0.8496094,0.5029297,0.375,0.03125,0.125,0.0,0.0,0.0
1695828928732,-0.04296875,-0.85253906,0.5136719,0.8125,-0.03125,0.0625,0.0,0.0,0.0
1695828928772,-0.047851562,-0.84277344,0.5048828,0.90625,0.09375,0.1875,0.0,0.0,0.0
1695828928812,-0.047851562,-0.8486328,0.5107422,0.90625,0.03125,0.1875,0.0,0.0,0.0
1695828928852,-0.045898438,-0.8466797,0.51953125,0.6875,0.15625,0.0,0.0,0.0,0.0
1695828928892,-0.04296875,-0.84277344,0.4892578,-0.25,0.09375,0.1875,0.0,0.0,0.0
1695828928932,-0.041992188,-0.85058594,0.5107422,-0.65625,-0.03125,-0.25,0.0,0.0,0.0
1695828928972,-0.03515625,-0.8417969,0.5048828,-1.21875,0.28125,-0.1875,53.25,-65.375,-76.5625
1695828929012,-0.043945312,-0.85253906,0.51953125,-1.15625,-0.09375,-0.3125,0.0,0.0,0.0
1695828929052,-0.04296875,-0.8544922,0.50390625,-0.59375,-0.59375,-0.25,0.0,0.0,0.0
1695828929092,-0.049804688,-0.84472656,0.50878906,-0.1875,-0.40625,-0.25,0.0,0.0,0.0
1695828929132,-0.038085938,-0.85253906,0.52246094,0.125,-0.09375,-0.0625,0.0,0.0,0.0
1695828929172,-0.041992188,-0.8457031,0.5214844,0.5625,0.03125,-0.125,0.0,0.0,0.0
1695828929213,-0.043945312,-0.8496094,0.51171875,0.4375,0.03125,-0.25,0.0,0.0,0.0
1695828929253,-0.043945312,-0.8564453,0.515625,0.3125,0.40625,-0.125,0.0,0.0,0.0
1695828929293,-0.038085938,-0.84375,0.5175781,0.25,0.28125,-0.0625,0.0,0.0,0.0
1695828929333,-0.047851562,-0.8535156,0.49902344,0.5,0.28125,0.0625,0.0,0.0,0.0
1695828929373,-0.034179688,-0.8564453,0.5175781,0.375,0.21875,-0.0625,0.0,0.0,0.0
1695828929413,-0.041015625,-0.8457031,0.50683594,0.0625,0.09375,0.1875,0.0,0.0,0.0
1695828929453,-0.049804688,-0.85058594,0.51953125,0.3125,-0.40625,0.0,0.0,0.0,0.0
1695828929493,-0.049804688,-0.8564453,0.5126953,0.0625,-0.09375,-0.1875,53.5625,-65.8125,-74.625
1695828929533,-0.044921875,-0.8544922,0.5107422,0.375,-0.21875,-0.0625,0.0,0.0,0.0
1695828929573,-0.041992188,-0.84472656,0.5253906,-0.0625,-0.03125,0.0,0.0,0.0,0.0
1695828929613,-0.03515625,-0.8515625,0.50878906,-0.59375,0.21875,-0.25,0.0,0.0,0.0
1695828929653,-0.04296875,-0.8457031,0.49414062,-0.96875,0.28125,-0.1875,0.0,0.0,0.0
1695828929693,-0.041015625,-0.85253906,0.51464844,0.0,0.09375,-0.4375,0.0,0.0,0.0
1695828929733,-0.0390625,-0.8496094,0.49902344,0.0625,0.15625,-0.25,0.0,0.0,0.0
1695828929773,-0.044921875,-0.8574219,0.51660156,0.375,-0.09375,0.0,0.0,0.0,0.0
1695828929813,-0.047851562,-0.8515625,0.5126953,0.3125,-0.21875,0.0,0.0,0.0,0.0
1695828929853,-0.041992188,-0.8515625,0.49414062,0.0,-0.09375,0.0625,0.0,0.0,0.0
1695828929893,-0.041015625,-0.85253906,0.50683594,0.5,0.15625,-0.0625,0.0,0.0,0.0
1695828929934,-0.041992188,-0.84375,0.4970703,0.4375,0.21875,-0.125,0.0,0.0,0.0
1695828929974,-0.04296875,-0.85253906,0.5048828,0.375,0.65625,-0.25,51.625,-66.6875,-74.3125
1695828930014,-0.045898438,-0.8408203,0.52734375,0.625,0.28125,-0.0625,0.0,0.0,0.0
1695828930054,-0.046875,-0.8359375,0.5136719,0.0625,0.21875,-0.0625,0.0,0.0,0.0
1695828930094,-0.03515625,-0.8515625,0.5078125,-0.3125,0.28125,-0.0625,0.0,0.0,0.0
