# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695828862694,0.44702148,-0.7752075,-0.45635986,-0.84375,-0.15625,0.203125
1695828862734,0.45874023,-0.7620239,-0.44244385,0.71875,1.234375,-0.3125
1695828862774,0.44873047,-0.7930298,-0.42877197,0.359375,-0.703125,-0.171875
1695828862814,0.44921875,-0.7661743,-0.43511963,0.1875,0.015625,-0.421875
1695828862855,0.45654297,-0.7671509,-0.43829346,-0.03125,-0.015625,0.078125
1695828862895,0.45336914,-0.7786255,-0.44317627,-0.0625,-0.296875,-0.234375
1695828862935,0.4501953,-0.7732544,-0.44561768,-0.25,-0.8125,-0.125
1695828862975,0.46166992,-0.7659302,-0.440979,-0.59375,-0.125,-0.234375
1695828863015,0.44384766,-0.7715454,-0.4331665,-0.21875,-0.875,0.0625
1695828863055,0.44677734,-0.77716064,-0.4439087,-0.1875,-0.578125,-0.375
1695828863095,0.44384766,-0.770813,-0.42926025,0.15625,-0.484375,-0.046875
1695828863135,0.4519043,-0.7761841,-0.43780518,-0.25,-0.375,-0.234375
1695828863175,0.4580078,-0.76763916,-0.43902588,0.03125,-0.078125,-0.203125
1695828863215,0.45043945,-0.7744751,-0.4373169,-0.0625,-0.4375,0.125
1695828863255,0.45410156,-0.76690674,-0.4439087,0.078125,-0.703125,-0.09375
1695828863295,0.44140625,-0.7786255,-0.4421997,-0.703125,-0.53125,-0.25
1695828863335,0.4650879,-0.7625122,-0.4212036,0.203125,-1.453125,-0.296875
1695828863375,0.44262695,-0.7727661,-0.4590454,-1.265625,-0.46875,0.03125
1695828863415,0.4555664,-0.7581177,-0.4512329,0.046875,1.59375,-0.296875
1695828863455,0.44848633,-0.7815552,-0.43658447,-0.171875,-1.109375,0.078125
1695828863495,0.44384766,-0.76934814,-0.43927002,-0.34375,0.09375,-0.4375
1695828863535,0.45092773,-0.7678833,-0.4373169,-0.375,0.046875,0.265625
1695828863575,0.45117188,-0.7686157,-0.45343018,-0.65625,-0.765625,-0.171875
1695828863616,0.4501953,-0.7776489,-0.4421997,-0.515625,-0.65625,0.15625
1695828863656,0.4560547,-0.7637329,-0.4451294,-0.671875,-0.53125,-0.03125
